UPC,SKU,Description,Color Code,Brand
100000100001,OF00001,Horizon - Black,BK01,OptiFrame
100000100002,OF00001,Horizon - Crystal Clear,CC01,OptiFrame
100000100003,OF00001,Horizon - Brown Tortoise,TT01,OptiFrame
100000100004,OF00001,Horizon - Grey,GY01,OptiFrame
100000100005,OF00001,Horizon - Navy,NV01,OptiFrame
100000100006,OF00002,Summit - Matte Black,BK02,OptiFrame
100000100007,OF00002,Summit - White,WH01,OptiFrame
100000100008,OF00002,Summit - Honey Tortoise,TT02,OptiFrame
100000100009,OF00002,Summit - Rose Gold,RG01,OptiFrame
100000100010,OF00003,Canopy - Black,BK01,OptiFrame
100000100011,OF00003,Canopy - Crystal Clear,CC01,OptiFrame
100000100012,OF00003,Canopy - Dark Tortoise,TT03,OptiFrame
100000100013,OF00003,Canopy - Smoke,GY02,OptiFrame
100000100014,OF00003,Canopy - Ocean Blue,NV02,OptiFrame
100000100015,OF00003,Canopy - Gold,GD01,OptiFrame
100000100016,OF00004,Harbor - Black,BK01,OptiFrame
100000100017,OF00004,Harbor - White,WH01,OptiFrame
100000100018,OF00004,Harbor - Brown Tortoise,TT01,OptiFrame
100000100019,OF00004,Harbor - Silver,SV01,OptiFrame
100000100020,OF00004,Harbor - Burgundy,BG01,OptiFrame
100000100021,OF00005,Coastal - Matte Black,BK02,OptiFrame
100000100022,OF00005,Coastal - Crystal Clear,CC01,OptiFrame
100000100023,OF00005,Coastal - Honey Tortoise,TT02,OptiFrame
100000100024,OF00005,Coastal - Rose Gold,RG01,OptiFrame
100000100025,OF00005,Coastal - Olive,OL01,OptiFrame
100000100026,OF00006,Alpine - Black,BK01,OptiFrame
100000100027,OF00006,Alpine - Grey,GY01,OptiFrame
100000100028,OF00006,Alpine - Navy,NV01,OptiFrame
100000100029,OF00006,Alpine - Silver,SV01,OptiFrame
100000100030,OF00006,Alpine - Cognac,CG01,OptiFrame
100000100031,OF00006,Alpine - Amber,AM01,OptiFrame
100000100032,OF00007,Desert - Matte Black,BK02,OptiFrame
100000100033,OF00007,Desert - Gold,GD01,OptiFrame
100000100034,OF00007,Desert - Silver,SV01,OptiFrame
100000100035,OF00007,Desert - Cognac,CG01,OptiFrame
100000100036,OF00008,Meadow - Crystal Clear,CC01,OptiFrame
100000100037,OF00008,Meadow - White,WH01,OptiFrame
100000100038,OF00008,Meadow - Honey Tortoise,TT02,OptiFrame
100000100039,OF00008,Meadow - Rose Gold,RG01,OptiFrame
100000100040,OF00008,Meadow - Forest Green,FG01,OptiFrame
100000100041,OF00009,Canyon - Black,BK01,OptiFrame
100000100042,OF00009,Canyon - Matte Black,BK02,OptiFrame
100000100043,OF00009,Canyon - Brown Tortoise,TT01,OptiFrame
100000100044,OF00009,Canyon - Grey,GY01,OptiFrame
100000100045,OF00009,Canyon - Ocean Blue,NV02,OptiFrame
100000100046,OF00010,Glacier - Crystal Clear,CC01,OptiFrame
100000100047,OF00010,Glacier - Silver,SV01,OptiFrame
100000100048,OF00010,Glacier - Rose Gold,RG01,OptiFrame
100000100049,OF00010,Glacier - Gold,GD01,OptiFrame
100000100050,OF00011,Tundra - Black,BK01,OptiFrame
100000100051,OF00011,Tundra - Grey,GY01,OptiFrame
100000100052,OF00011,Tundra - Navy,NV01,OptiFrame
100000100053,OF00011,Tundra - Forest Green,FG01,OptiFrame
100000100054,OF00011,Tundra - Burgundy,BG01,OptiFrame
100000100055,OF00012,Prairie - Crystal Black,BK03,OptiFrame
100000100056,OF00012,Prairie - White,WH01,OptiFrame
100000100057,OF00012,Prairie - Honey Tortoise,TT02,OptiFrame
100000100058,OF00012,Prairie - Amber,AM01,OptiFrame
100000100059,OF00012,Prairie - Rose Gold,RG01,OptiFrame
100000100060,OF00013,Cascade - Black,BK01,OptiFrame
100000100061,OF00013,Cascade - Crystal Clear,CC01,OptiFrame
100000100062,OF00013,Cascade - Brown Tortoise,TT01,OptiFrame
100000100063,OF00013,Cascade - Silver,SV01,OptiFrame
100000100064,OF00013,Cascade - Smoke,GY02,OptiFrame
100000100065,OF00014,Dune - Matte Black,BK02,OptiFrame
